;AT;BE;CH;CZ;DE;DK;ES;FR;GB;IE;IT;LU;NL;NO;PL;PT;SE
t60;9225;11223;6655;7912;65599;4722;29706;66943;40582;3481;37563;662;15852;17504;19234;6536;18880
t61;8894;11124;6738;7859;65702;4630;29278;67568;41183;3584;36535;655;15699;17699;19194;6729;18838
t62;8706;10977;6754;7862;64011;4604;29353;65253;41920;3668;35747;640;15681;17789;19348;6670;18728
t63;8636;10765;6534;7885;62597;4556;28319;63304;42059;3670;35832;626;15402;17814;19131;6572;18794
t64;8706;10592;6563;7947;62130;4540;27667;61912;41962;3600;36137;611;15204;17751;19186;6600;19055
t65;9427;10717;6739;8048;63686;4810;27817;62281;42311;3610;37747;615;15674;17783;20635;6536;19335
t66;9715;11420;6964;8266;67130;5160;30304;67401;45575;3811;41205;655;16713;17803;20853;6582;19421
t67;9533;11410;7025;8127;66918;4988;30893;69495;47606;4208;41374;660;16264;17543;20566;7178;18938
t68;8937;11032;6727;7972;64643;4561;31441;67514;46248;4198;40832;646;15687;17051;20386;7232;18269
t69;8202;10508;6451;7741;60936;4175;31513;63571;43611;3998;38148;610;14822;16620;19805;7249;17342
t70;7685;9995;6335;7263;58328;3935;30190;60578;40443;3725;35204;565;13875;16218;18657;6964;16625
t71;7697;10262;6448;6850;56759;3652;28222;63838;37177;3472;31930;562;12976;15648;17320;6691;15856
t72;7085;10260;6447;6466;53059;3395;25909;62790;33983;3195;28861;533;12040;15106;16046;6346;15077
t73;6670;9538;6266;5995;49045;3199;23641;57939;30910;3171;25853;493;11179;14666;15002;5745;14490
t74;6345;8924;6183;5837;46759;3057;21946;56525;29958;2937;23927;472;10444;14090;14263;5249;14066
t75;6130;8461;6112;5891;45477;2977;20937;53858;29121;2645;22775;455;9940;13830;13861;4865;13878
t76;5968;8271;6040;5878;45354;2965;20536;51198;27769;2428;22283;446;9680;13641;13751;4598;13774
t77;6141;8192;5887;5860;45733;2972;20478;50384;26792;2323;22250;446;9588;13700;13779;4374;13771
t78;6483;8184;5849;5835;45691;3063;20825;51363;25932;2276;23166;460;9727;13894;14024;4346;13905
t79;6929;8461;5712;6075;46145;3178;21452;53150;26183;2237;25407;467;10198;14240;14792;4362;14410
t80;7627;8674;5690;6278;48986;3471;22007;55344;28106;2299;28236;496;11046;14586;15390;4411;14992
t81;8156;9222;6048;6451;51920;3697;23968;57200;30299;2425;31290;519;12149;15328;16000;4408;15561
t82;8539;9695;6184;6927;55247;3889;26576;59645;33494;2545;34107;538;13190;15957;17011;4827;16062
t83;8708;10135;6255;7296;57444;4022;27729;60955;37029;2802;35203;561;13775;16435;17438;5308;16608
t84;8785;10511;6183;7478;58907;4023;27858;62277;39098;3079;34900;583;13964;16711;17722;5646;16895
t85;8507;10551;6477;7425;58691;3947;28219;64093;40164;3224;33952;590;13936;16700;17619;5937;16968
t86;8338;10479;6487;7460;57410;3870;27961;61211;40493;3308;32674;578;13789;16518;17755;6046;16967
t87;8206;10165;6318;7408;56223;3845;26641;59339;40233;3288;32628;564;13702;16526;17486;5934;16996
t88;8291;9965;6306;7417;56262;3914;26024;58223;39929;3234;32827;554;13548;16773;17709;5913;17525
t89;8812;10026;6447;7618;58543;4321;25915;58624;40316;3230;34342;561;14071;17113;19178;5845;18065
t90;8931;10736;6644;7606;62027;4797;27910;63439;43499;3439;37610;596;15130;17102;19399;5800;18250
t91;8525;10858;6628;7492;62270;4678;28018;65691;45760;3934;38445;612;14845;17067;19141;6520;18057
t92;8185;10512;6386;7335;60044;4285;28583;64338;44662;3948;38336;595;14378;16637;18899;6861;17532
t93;7636;10033;6195;7114;56402;3981;29088;61297;42263;3749;36346;566;13683;16046;18294;6878;16825
t94;7185;9581;6132;6632;54118;3744;28641;59023;39671;3543;33821;533;12875;15745;17202;6689;16228
t95;7219;9743;6199;6414;53144;3499;27323;62949;36928;3297;31017;541;12155;15207;16137;6365;15664
t96;6598;9728;6120;6069;49859;3261;25192;62476;34353;3076;28209;515;11348;14893;14978;6099;15055
t97;6168;9135;5943;5742;46358;3062;23022;58361;31768;3072;25622;480;10561;14281;13892;5589;14647
t98;5766;8598;5639;5601;43768;2892;21098;57341;31009;2894;23693;463;9921;13961;13188;5062;14242
t99;5627;8168;5428;5660;42437;2800;20189;54617;30036;2616;22552;439;9478;13757;12810;4675;14117
t100;5505;7983;5313;5589;42087;2802;19753;52139;28604;2421;21910;432;9275;13622;12601;4449;14112
t101;5601;7941;5102;5557;42281;2775;19819;51128;27445;2280;21712;432;9179;13534;12509;4303;14162
t102;5795;7942;5201;5512;41962;2839;20146;51737;26481;2206;22189;438;9281;13552;12602;4216;14330
t103;6067;8134;5023;5656;41128;2957;20659;52726;26265;2150;23464;431;9578;13814;13036;4229;14658
t104;6614;8157;4984;5835;42777;3189;20860;54247;27179;2166;25035;453;10079;14076;13202;4286;15183
t105;7068;8549;5231;6034;45470;3482;22327;55446;28374;2247;26893;472;10836;14478;13586;4148;15698
t106;7609;8980;5433;6596;48850;3713;23963;58138;30245;2319;29305;486;11507;15102;14528;4436;16072
t107;8015;9605;5494;7083;51887;3925;24771;60015;34032;2518;31236;514;12054;15675;15304;4909;16677
t108;8147;10321;5642;7328;54594;4079;25169;61407;37088;2817;31996;549;12311;16339;15689;5359;17153
