;;;;;;;h;h;MW/m2;MW/m2;MW/m2;m2;m2;m2;m2;;;;Mapping;;;
ID;NASA_Lat;NASA_Long;DEC_Lat;DEC_Long;CNTR_ID;class;VLH_wind;VLH_pv;a_spec_pv_r;a_spec_pv_u;a_spec_won;pv_area;wind_area;both_area;all_area;wind_wvlh;pv_wvlh;lu_not;_id1;_c;_id2;_won23
Lat274Lon307;274;307;47;11,875;IT;3;792,174945;1114,033966;0,000279056;0,000273344;7,44583E-05;10334208;84396032;6889472;101619712;0,00448291;0,009044759;1;Lat274Lon307;IT;Lat274Lon307;Won_3
Lat274Lon308;274;308;47;12,5;AT;3;781,408465;1117,212699;0,000278262;0,000272566;7,54842E-05;9473024;36169728;5167104;50809856;0,013259043;0,031264516;1;Lat274Lon308;AT;Lat274Lon308;Won_3
Lat274Lon309;274;309;47;13,125;AT;3;846,185393;1101,477239;0,000282237;0,00027646;6,97058E-05;6889472;59421696;7750656;74061824;0,014358186;0,030824169;1;Lat274Lon309;AT;Lat274Lon309;Won_3
Lat274Lon310;274;310;47;13,75;AT;3;1063,34263;1085,804468;0,000286311;0,00028045;5,54704E-05;23251968;214434816;12917760;250604544;0,018042939;0,030385576;1;Lat274Lon310;AT;Lat274Lon310;Won_3
Lat274Lon311;274;311;47;14,375;AT;3;1235,46872;1072,336984;0,000289907;0,000283973;4,77422E-05;24974336;590772224;10334208;626080768;0,020963598;0,030008697;1;Lat274Lon311;AT;Lat274Lon311;Won_3
Lat274Lon312;274;312;47;15;AT;3;1360,66794;1062,287159;0,00029265;0,000286659;4,33493E-05;124871680;660528128;17223680;802623488;0,023087995;0,029727459;1;Lat274Lon312;AT;Lat274Lon312;Won_3
Lat274Lon313;274;313;47;15,625;AT;3;1741,5074;1062,27352;0,000292654;0,000286663;3,38695E-05;284190720;1055811584;4305920;1344308224;0,029550129;0,029727077;1;Lat274Lon313;AT;Lat274Lon313;Won_3
Lat274Lon314;274;314;47;16,25;AT;3;2433,04988;1053,902628;0,000294978;0,00028894;2,42428E-05;127455232;839654400;4305920;971415552;0,041284314;0,029492823;1;Lat274Lon314;AT;Lat274Lon314;Won_3
Lat275Lon283;275;283;47,5;-3,125;FR;2;2560,664304;1093,735374;0,000284235;0,000278417;2,30346E-05;47365120;95591424;3444736;146401280;0,004656547;0,004767395;1;Lat275Lon283;FR;Lat275Lon283;Won_2
Lat275Lon285;275;285;47,5;-1,875;FR;3;2832,908624;1081,113125;0,000287554;0,000281667;2,0821E-05;179126272;235103232;0;414229504;0,005151621;0,004712377;1;Lat275Lon285;FR;Lat275Lon285;Won_3
Lat275Lon286;275;286;47,5;-1,25;FR;3;2759,30412;1077,086052;0,000288629;0,00028272;2,13764E-05;204100608;220463104;5167104;429730816;0,005017772;0,004694824;1;Lat275Lon286;FR;Lat275Lon286;Won_3
Lat275Lon287;275;287;47,5;-0,625;FR;3;2708,882984;1077,515666;0,000288514;0,000282608;2,17743E-05;222185472;219601920;7750656;449538048;0,004926082;0,004696697;1;Lat275Lon287;FR;Lat275Lon287;Won_3
Lat275Lon288;275;288;47,5;0;FR;3;2655,95828;1059,201922;0,000293502;0,000287494;2,22082E-05;68894720;493458432;1722368;564075520;0,004829839;0,00461687;1;Lat275Lon288;FR;Lat275Lon288;Won_3
Lat275Lon289;275;289;47,5;0,625;FR;3;2627,900512;1050,321943;0,000295984;0,000289925;2,24453E-05;259216384;666556416;7750656;933523456;0,004778816;0,004578164;1;Lat275Lon289;FR;Lat275Lon289;Won_3
Lat275Lon290;275;290;47,5;1,25;FR;3;2578,941032;1043,083587;0,000298038;0,000291937;2,28714E-05;180848640;758703104;5167104;944718848;0,004689783;0,004546613;1;Lat275Lon290;FR;Lat275Lon290;Won_3
Lat275Lon291;275;291;47,5;1,875;FR;3;3148,34303;1040,178173;0,00029887;0,000292752;1,87349E-05;18084864;161041408;861184;179987456;0,005725236;0,004533949;1;Lat275Lon291;FR;Lat275Lon291;Won_3
Lat275Lon292;275;292;47,5;2,5;FR;3;3119,06993;1039,423761;0,000299087;0,000292965;1,89108E-05;49948672;677751808;2583552;730284032;0,005672003;0,004530661;1;Lat275Lon292;FR;Lat275Lon292;Won_3
Lat275Lon293;275;293;47,5;3,125;FR;3;2989,01372;1045,541028;0,000297337;0,00029125;1,97336E-05;78367744;1034281984;0;1112649728;0,005435497;0,004557325;1;Lat275Lon293;FR;Lat275Lon293;Won_3
Lat275Lon294;275;294;47,5;3,75;FR;3;2982,1797;1048,293555;0,000296556;0,000290486;1,97788E-05;45642752;935245824;3444736;984333312;0,00542307;0,004569323;1;Lat275Lon294;FR;Lat275Lon294;Won_3
Lat275Lon295;275;295;47,5;4,375;FR;3;2963,9178;1045,294531;0,000297407;0,000291319;1,99007E-05;31863808;679474176;5167104;716505088;0,005389861;0,00455625;1;Lat275Lon295;FR;Lat275Lon295;Won_3
Lat275Lon296;275;296;47,5;5;FR;3;2839,89059;1050,50387;0,000295932;0,000289875;2,07698E-05;153290752;1057533952;14640128;1225464832;0,005164318;0,004578957;1;Lat275Lon296;FR;Lat275Lon296;Won_3
Lat275Lon297;275;297;47,5;5,625;FR;3;2636,25237;1049,456111;0,000296228;0,000290164;2,23742E-05;101619712;1308999680;2583552;1413202944;0,004794004;0,00457439;1;Lat275Lon297;FR;Lat275Lon297;Won_3
Lat275Lon298;275;298;47,5;6,25;FR;3;2586,8378;1049,059004;0,00029634;0,000290274;2,28016E-05;142095360;1470902272;14640128;1627637760;0,004704144;0,004572659;1;Lat275Lon298;FR;Lat275Lon298;Won_3
