;;;;;;;h;h;MW/m2;MW/m2;MW/m2;m2;m2;m2;m2;;;;Mapping;;;
ID;NASA_Lat;NASA_Long;DEC_Lat;DEC_Long;CNTR_ID;class;VLH_wind;VLH_pv;a_spec_pv_r;a_spec_pv_u;a_spec_won;pv_area;wind_area;both_area;all_area;wind_wvlh;pv_wvlh;lu_not;_id1;_c;_id2;_won23
Lat257Lon281;257;281;38,5;-4,375;ES;3;2455,86922;1302,399551;0,000238696;0,00023381;2,40176E-05;18946048;973137920;260938752;1253022720;0,00562847;0,006177368;1;Lat257Lon281;ES;Lat257Lon281;Won_3
Lat257Lon282;257;282;38,5;-3,75;ES;3;2386,37732;1310,950921;0,000237139;0,000232285;2,4717E-05;18084864;335861760;215296000;569242624;0,005469205;0,006217928;1;Lat257Lon282;ES;Lat257Lon282;Won_3
Lat257Lon283;257;283;38,5;-3,125;ES;3;2495,56489;1320,515673;0,000235422;0,000230603;2,36355E-05;14640128;271272960;154151936;440065024;0,005719446;0,006263294;1;Lat257Lon283;ES;Lat257Lon283;Won_3
Lat257Lon284;257;284;38,5;-2,5;ES;3;2830,28005;1326,542834;0,000234352;0,000229555;2,08403E-05;1722368;481401856;149846016;632970240;0,006486561;0,006291881;1;Lat257Lon284;ES;Lat257Lon284;Won_3
Lat257Lon285;257;285;38,5;-1,875;ES;3;2724,89833;1329,71902;0,000233792;0,000229006;2,16463E-05;12917760;734589952;375476224;1122983936;0,006245042;0,006306946;1;Lat257Lon285;ES;Lat257Lon285;Won_3
Lat257Lon286;257;286;38,5;-1,25;ES;3;2557,66692;1328,253383;0,00023405;0,000229259;2,30616E-05;32724992;386671616;427147264;846543872;0,005861774;0,006299994;1;Lat257Lon286;ES;Lat257Lon286;Won_3
Lat257Lon287;257;287;38,5;-0,625;ES;3;2394,62572;1331,978507;0,000233396;0,000228618;2,46318E-05;221324288;252326912;511543296;985194496;0,005488109;0,006317663;1;Lat257Lon287;ES;Lat257Lon287;Won_3
Lat257Lon314;257;314;38,5;16,25;IT;3;2624,81411;1311,017945;0,000237127;0,000232273;2,24717E-05;68894720;329833472;19807232;418535424;0,014853795;0,010644057;1;Lat257Lon314;IT;Lat257Lon314;Won_3
Lat258Lon273;258;273;39;-9,375;PT;2;3008,31802;1293,719375;0,000240298;0,000235379;1,9607E-05;315193344;306581504;31863808;653638656;0,037170819;0,035423723;1;Lat258Lon273;PT;Lat258Lon273;Won_2
Lat258Lon274;258;274;39;-8,75;PT;3;3266,98398;1270,839975;0,000244624;0,000239617;1,80546E-05;90424320;1558743040;10334208;1659501568;0,040366899;0,034797256;1;Lat258Lon274;PT;Lat258Lon274;Won_3
Lat258Lon275;258;275;39;-8,125;PT;3;3111,30577;1262,555015;0,000246229;0,000241189;1,8958E-05;12917760;2448346112;3444736;2464708608;0,038443337;0,034570403;1;Lat258Lon275;PT;Lat258Lon275;Won_3
Lat258Lon276;258;276;39;-7,5;PT;3;3078,8491;1268,413918;0,000245092;0,000240075;1,91578E-05;25835520;1625054208;15501312;1666391040;0,038042302;0,034730827;1;Lat258Lon276;PT;Lat258Lon276;Won_3
Lat258Lon277;258;277;39;-6,875;ES;3;2836,88686;1277,22151;0,000243402;0,000238419;2,07918E-05;80951296;911132672;334139392;1326223360;0,006501703;0,006057947;1;Lat258Lon277;ES;Lat258Lon277;Won_3
Lat258Lon278;258;278;39;-6,25;ES;3;2682,69173;1273,682334;0,000244078;0,000239082;2,19869E-05;50809856;1057533952;242853888;1351197696;0,006148311;0,00604116;1;Lat258Lon278;ES;Lat258Lon278;Won_3
Lat258Lon279;258;279;39;-5,625;ES;3;2547,25035;1287,157631;0,000241523;0,000236579;2,31559E-05;34447360;290219008;248882176;573548544;0,005837901;0,006105075;1;Lat258Lon279;ES;Lat258Lon279;Won_3
Lat258Lon280;258;280;39;-5;ES;3;2554,02393;1289,719564;0,000241043;0,000236109;2,30945E-05;6028288;831903744;290219008;1128151040;0,005853425;0,006117226;1;Lat258Lon280;ES;Lat258Lon280;Won_3
Lat258Lon281;258;281;39;-4,375;ES;3;2662,08003;1300,603031;0,000239026;0,000234133;2,21571E-05;8611840;737173504;415090688;1160876032;0,006101073;0,006168847;1;Lat258Lon281;ES;Lat258Lon281;Won_3
Lat258Lon282;258;282;39;-3,75;ES;3;2744,64213;1309,557991;0,000237392;0,000232532;2,14906E-05;55976960;230797312;278162432;564936704;0,006290292;0,006211321;1;Lat258Lon282;ES;Lat258Lon282;Won_3
Lat258Lon283;258;283;39;-3,125;ES;3;2877,35069;1305,721955;0,000238089;0,000233215;2,04994E-05;45642752;397005824;104203264;546851840;0,006594439;0,006193126;1;Lat258Lon283;ES;Lat258Lon283;Won_3
Lat258Lon284;258;284;39;-2,5;ES;3;3123,60963;1312,468113;0,000236865;0,000232017;1,88833E-05;12917760;758703104;229936128;1001556992;0,007158826;0,006225124;1;Lat258Lon284;ES;Lat258Lon284;Won_3
Lat258Lon285;258;285;39;-1,875;ES;3;2987,08637;1322,83548;0,000235009;0,000230198;1,97463E-05;55976960;404756480;116259840;576993280;0,006845936;0,006274297;1;Lat258Lon285;ES;Lat258Lon285;Won_3
Lat258Lon286;258;286;39;-1,25;ES;3;2820,85336;1324,784251;0,000234663;0,00022986;2,091E-05;14640128;691530752;254910464;961081344;0,006464956;0,00628354;1;Lat258Lon286;ES;Lat258Lon286;Won_3
Lat258Lon287;258;287;39;-0,625;ES;3;2440,38262;1308,425969;0,000237597;0,000232733;2,417E-05;124871680;118843392;152429568;396144640;0,005592977;0,006205952;1;Lat258Lon287;ES;Lat258Lon287;Won_3
Lat258Lon302;258;302;39;8,75;IT;3;2700,154352;1284,593553;0,000242005;0,000237051;2,18447E-05;49948672;130899968;30141440;210990080;0,015280145;0,01042952;1;Lat258Lon302;IT;Lat258Lon302;Won_3
Lat258Lon314;258;314;39;16,25;IT;3;2096,47159;1294,515573;0,00024015;0,000235234;2,81349E-05;52532224;489152512;19807232;561491968;0,011863911;0,010510076;1;Lat258Lon314;IT;Lat258Lon314;Won_3
Lat258Lon315;258;315;39;16,875;IT;3;2153,640176;1292,346553;0,000240553;0,000235629;2,7388E-05;50809856;148123648;22390784;221324288;0,012187427;0,010492466;1;Lat258Lon315;IT;Lat258Lon315;Won_3
Lat259Lon274;259;274;39,5;-8,75;PT;3;2986,90572;1256,930244;0,000247331;0,000242268;1,97475E-05;212712448;1077341184;18084864;1308138496;0,036906248;0,034416389;1;Lat259Lon274;PT;Lat259Lon274;Won_3
Lat259Lon275;259;275;39,5;-8,125;PT;3;3027,67561;1245,329666;0,000249635;0,000244525;1,94816E-05;72339456;2723063808;11195392;2806598656;0,037410002;0,03409875;1;Lat259Lon275;PT;Lat259Lon275;Won_3
Lat259Lon276;259;276;39,5;-7,5;PT;3;3000,74406;1246,887145;0,000249323;0,00024422;1,96565E-05;12917760;1160014848;58560512;1231493120;0,037077235;0,034141396;1;Lat259Lon276;PT;Lat259Lon276;Won_3
Lat259Lon277;259;277;39,5;-6,875;ES;3;2823,00703;1252,521357;0,000248202;0,000243121;2,0894E-05;7750656;949024768;443509760;1400285184;0,006469892;0,005940792;1;Lat259Lon277;ES;Lat259Lon277;Won_3
Lat259Lon278;259;278;39,5;-6,25;ES;3;2691,94507;1255,327079;0,000247647;0,000242578;2,19113E-05;31002624;850849792;759564288;1641416704;0,006169519;0,0059541;1;Lat259Lon278;ES;Lat259Lon278;Won_3
Lat259Lon279;259;279;39,5;-5,625;ES;3;2580,37761;1260,920668;0,000246549;0,000241502;2,28587E-05;11195392;1038587904;406478848;1456262144;0,005913823;0,005980631;1;Lat259Lon279;ES;Lat259Lon279;Won_3
Lat259Lon280;259;280;39,5;-5;ES;3;2721,66712;1276,785001;0,000243485;0,000238501;2,1672E-05;4305920;863767552;456427520;1324500992;0,006237637;0,006055876;1;Lat259Lon280;ES;Lat259Lon280;Won_3
Lat259Lon281;259;281;39,5;-4,375;ES;3;2845,23944;1287,768237;0,000241408;0,000236467;2,07308E-05;20668416;314332160;306581504;641582080;0,006520845;0,006107971;1;Lat259Lon281;ES;Lat259Lon281;Won_3
Lat259Lon282;259;282;39,5;-3,75;ES;3;2907,13014;1298,113593;0,000239485;0,000234582;2,02894E-05;35308544;154151936;179126272;368586752;0,006662689;0,006157039;1;Lat259Lon282;ES;Lat259Lon282;Won_3
Lat259Lon283;259;283;39,5;-3,125;ES;3;2898,54245;1300,703935;0,000239008;0,000234115;2,03495E-05;46503936;104203264;78367744;229074944;0,006643008;0,006169326;1;Lat259Lon283;ES;Lat259Lon283;Won_3
Lat259Lon284;259;284;39,5;-2,5;ES;3;3064,67823;1305,125598;0,000238198;0,000233322;1,92464E-05;28419072;309165056;177403904;514988032;0,007023765;0,006190298;1;Lat259Lon284;ES;Lat259Lon284;Won_3
Lat259Lon285;259;285;39,5;-1,875;ES;3;2969,69745;1309,704081;0,000237365;0,000232506;1,9862E-05;38753280;890464256;80090112;1009307648;0,006806084;0,006212014;1;Lat259Lon285;ES;Lat259Lon285;Won_3
Lat259Lon286;259;286;39,5;-1,25;ES;3;2754,8262;1309,838905;0,000237341;0,000232482;2,14112E-05;17223680;442648576;138650624;598522880;0,006313632;0,006212653;1;Lat259Lon286;ES;Lat259Lon286;Won_3
Lat259Lon287;259;287;39,5;-0,625;ES;3;2399,52817;1295,052863;0,000240051;0,000235137;2,45815E-05;351363072;177403904;179126272;707893248;0,005499345;0,006142522;1;Lat259Lon287;ES;Lat259Lon287;Won_3
Lat259Lon292;259;292;39,5;2,5;ES;3;2422,17371;1297,463043;0,000239605;0,0002347;2,43517E-05;93869056;101619712;7750656;203239424;0,005551245;0,006153954;1;Lat259Lon292;ES;Lat259Lon292;Won_3
Lat259Lon293;259;293;39,5;3,125;ES;3;2545,49418;1299,524612;0,000239225;0,000234327;2,31719E-05;43059200;309165056;3444736;355668992;0,005833876;0,006163732;1;Lat259Lon293;ES;Lat259Lon293;Won_3
Lat259Lon302;259;302;39,5;8,75;IT;3;2417,808544;1270,825971;0,000244627;0,000239619;2,43956E-05;93869056;163624960;25835520;283329536;0,013682353;0,010317742;1;Lat259Lon302;IT;Lat259Lon302;Won_3
Lat259Lon303;259;303;39,5;9,375;IT;3;2306,772112;1282,427773;0,000242414;0,000237451;2,55699E-05;79228928;185154560;54254592;318638080;0,013053999;0,010411936;1;Lat259Lon303;IT;Lat259Lon303;Won_3
Lat259Lon314;259;314;39,5;16,25;IT;3;1927,58927;1272,823691;0,000244243;0,000239243;3,05999E-05;93007872;369447936;13778944;476234752;0,010908207;0,010333961;1;Lat259Lon314;IT;Lat259Lon314;Won_3
Lat259Lon315;259;315;39,5;16,875;IT;3;2591,22913;1268,977737;0,000244983;0,000239968;2,27629E-05;20668416;216157184;31863808;268689408;0,014663738;0,010302736;1;Lat259Lon315;IT;Lat259Lon315;Won_3
Lat260Lon274;260;274;40;-8,75;PT;3;2472,63674;1250,426709;0,000248618;0,000243528;2,38547E-05;120565760;1496737792;38753280;1656056832;0,030551934;0,034238314;1;Lat260Lon274;PT;Lat260Lon274;Won_3
Lat260Lon275;260;275;40;-8,125;PT;3;2145,73907;1218,903002;0,000255047;0,000249827;2,74889E-05;43059200;1739591680;3444736;1786095616;0,026512782;0,033375154;1;Lat260Lon275;PT;Lat260Lon275;Won_3
Lat260Lon276;260;276;40;-7,5;PT;3;2765,9182;1237,634214;0,000251187;0,000246045;2,13253E-05;37030912;1638833152;28419072;1704283136;0,034175724;0,033888039;1;Lat260Lon276;PT;Lat260Lon276;Won_3
Lat260Lon277;260;277;40;-6,875;PT;3;2973,72852;1239,507715;0,000250808;0,000245674;1,9835E-05;10334208;1487264768;374615040;1872214016;0,036743431;0,033939337;1;Lat260Lon277;PT;Lat260Lon277;Won_3
Lat260Lon278;260;278;40;-6,25;ES;3;2512,86078;1243,869437;0,000249928;0,000244812;2,34728E-05;26696704;983472128;491736064;1501904896;0,005759085;0,005899756;1;Lat260Lon278;ES;Lat260Lon278;Won_3
Lat260Lon279;260;279;40;-5,625;ES;3;2151,98405;1263,312935;0,000246082;0,000241044;2,74091E-05;22390784;956775424;203239424;1182405632;0,004932012;0,005991978;1;Lat260Lon279;ES;Lat260Lon279;Won_3
Lat260Lon280;260;280;40;-5;ES;3;2362,21135;1290,243567;0,000240945;0,000236013;2,49698E-05;37030912;442648576;270411776;750091264;0,00541382;0,006119711;1;Lat260Lon280;ES;Lat260Lon280;Won_3
Lat260Lon281;260;281;40;-4,375;ES;3;2564,72308;1286,105328;0,000241721;0,000236772;2,29982E-05;57699328;345334784;304859136;707893248;0,005877946;0,006100083;1;Lat260Lon281;ES;Lat260Lon281;Won_3
Lat260Lon282;260;282;40;-3,75;ES;3;2751,51799;1284,463855;0,000242029;0,000237075;2,14369E-05;215296000;105064448;311748608;632109056;0,00630605;0,006092298;1;Lat260Lon282;ES;Lat260Lon282;Won_3
Lat260Lon283;260;283;40;-3,125;ES;3;2895,86438;1284,546336;0,000242014;0,00023706;2,03684E-05;41336832;302275584;140372992;483985408;0,00663687;0,006092689;1;Lat260Lon283;ES;Lat260Lon283;Won_3
Lat260Lon284;260;284;40;-2,5;ES;3;2991,74042;1290,183256;0,000240957;0,000236024;1,97156E-05;10334208;655361024;384949248;1050644480;0,006856603;0,006119425;1;Lat260Lon284;ES;Lat260Lon284;Won_3
Lat260Lon285;260;285;40;-1,875;ES;3;3032,71124;1292,432124;0,000240537;0,000235613;1,94493E-05;15501312;1113510912;285913088;1414925312;0,006950502;0,006130092;1;Lat260Lon285;ES;Lat260Lon285;Won_3
Lat260Lon286;260;286;40;-1,25;ES;3;2898,31839;1298,420427;0,000239428;0,000234527;2,03511E-05;1722368;502070272;435759104;939551744;0,006642494;0,006158495;1;Lat260Lon286;ES;Lat260Lon286;Won_3
Lat260Lon287;260;287;40;-0,625;ES;3;2654,10724;1288,513108;0,000241269;0,00023633;2,22237E-05;11195392;566659072;120565760;698420224;0,0060828;0,006111504;1;Lat260Lon287;ES;Lat260Lon287;Won_3
Lat260Lon288;260;288;40;0;ES;3;2367,72834;1290,668677;0,000240866;0,000235935;2,49116E-05;142095360;160180224;131761152;434036736;0,005426464;0,006121728;1;Lat260Lon288;ES;Lat260Lon288;Won_3
Lat260Lon302;260;302;40;8,75;IT;3;2167,360048;1263,558013;0,000246034;0,000240997;2,72147E-05;64588800;576993280;62005248;703587328;0,012265068;0,010258734;1;Lat260Lon302;IT;Lat260Lon302;Won_3
Lat260Lon303;260;303;40;9,375;IT;3;2179,865752;1269,20903;0,000244938;0,000239924;2,70585E-05;17223680;415090688;37030912;469345280;0,012335837;0,010304614;1;Lat260Lon303;IT;Lat260Lon303;Won_3
Lat260Lon314;260;314;40;16,25;IT;3;2052,34332;1242,057205;0,000250293;0,000245169;2,87398E-05;15501312;126594048;31863808;173959168;0,011614189;0,01008417;1;Lat260Lon314;IT;Lat260Lon314;Won_3
Lat260Lon317;260;317;40;18,125;IT;3;2402,778768;1262,34714;0,00024627;0,000241229;2,45482E-05;153290752;6028288;12917760;172236800;0,0135973;0,010248903;1;Lat260Lon317;IT;Lat260Lon317;Won_3
Lat261Lon274;261;274;40,5;-8,75;PT;3;2525,22639;1238,703251;0,000250971;0,000245833;2,33579E-05;170514432;696697856;1722368;868934656;0,031201732;0,03391731;1;Lat261Lon274;PT;Lat261Lon274;Won_3
Lat261Lon275;261;275;40,5;-8,125;PT;3;1727,45564;1222,172121;0,000254365;0,000249158;3,4145E-05;110231552;2028949504;8611840;2147792896;0,021344466;0,033464666;1;Lat261Lon275;PT;Lat261Lon275;Won_3
Lat261Lon276;261;276;40,5;-7,5;PT;3;2611,37103;1228,568367;0,000253041;0,000247861;2,25874E-05;37030912;874962944;44781568;956775424;0,032266137;0,033639804;1;Lat261Lon276;PT;Lat261Lon276;Won_3
Lat261Lon277;261;277;40,5;-6,875;PT;3;3042,3937;1237,054056;0,000251305;0,000246161;1,93874E-05;11195392;642443264;137789440;791428096;0,037591859;0,033872153;1;Lat261Lon277;PT;Lat261Lon277;Won_3
Lat261Lon278;261;278;40,5;-6,25;ES;3;2705,64471;1237,782638;0,000251157;0,000246016;2,18003E-05;6028288;749230080;397867008;1153125376;0,006200916;0,005870886;1;Lat261Lon278;ES;Lat261Lon278;Won_3
Lat261Lon279;261;279;40,5;-5,625;ES;3;2321,9131;1259,581325;0,000246811;0,000241758;2,54032E-05;21529600;980027392;895631360;1897188352;0,005321463;0,005974278;1;Lat261Lon279;ES;Lat261Lon279;Won_3
Lat261Lon280;261;280;40,5;-5;ES;3;2226,70885;1285,136566;0,000241903;0,000236951;2,64893E-05;14640128;296247296;395283456;706170880;0,00510327;0,006095488;1;Lat261Lon280;ES;Lat261Lon280;Won_3
Lat261Lon281;261;281;40,5;-4,375;ES;3;2430,55395;1283,77142;0,00024216;0,000237203;2,42677E-05;64588800;294524928;337584128;696697856;0,005570451;0,006089014;1;Lat261Lon281;ES;Lat261Lon281;Won_3
Lat261Lon282;261;282;40,5;-3,75;ES;3;2554,82934;1278,803965;0,000243101;0,000238124;2,30873E-05;707893248;223907840;240270336;1172071424;0,005855271;0,006065453;1;Lat261Lon282;ES;Lat261Lon282;Won_3
Lat261Lon283;261;283;40,5;-3,125;ES;3;2684,65261;1272,801684;0,000244247;0,000239247;2,19708E-05;175681536;549435392;223046656;948163584;0,006152805;0,006036983;1;Lat261Lon283;ES;Lat261Lon283;Won_3
Lat261Lon284;261;284;40,5;-2,5;ES;3;3033,59409;1272,266258;0,00024435;0,000239348;1,94436E-05;8611840;750091264;307442688;1066145792;0,006952525;0,006034444;1;Lat261Lon284;ES;Lat261Lon284;Won_3
Lat261Lon285;261;285;40,5;-1,875;ES;3;3228,40285;1277,08985;0,000243427;0,000238444;1,82703E-05;0;285913088;198933504;484846592;0,007398996;0,006057322;1;Lat261Lon285;ES;Lat261Lon285;Won_3
Lat261Lon286;261;286;40,5;-1,25;ES;3;3224,15129;1283,512346;0,000242209;0,000237251;1,82944E-05;29280256;569242624;177403904;775926784;0,007389252;0,006087785;1;Lat261Lon286;ES;Lat261Lon286;Won_3
Lat261Lon287;261;287;40,5;-0,625;ES;3;2704,588584;1274,884916;0,000243848;0,000238856;2,18089E-05;4305920;397005824;206684160;607995904;0,006198496;0,006046864;1;Lat261Lon287;ES;Lat261Lon287;Won_3
Lat261Lon288;261;288;40,5;0;ES;3;3207,74335;1254,565016;0,000247798;0,000242725;1,8388E-05;7750656;165347328;254049280;427147264;0,007351648;0,005950486;1;Lat261Lon288;ES;Lat261Lon288;Won_3
Lat261Lon302;261;302;40,5;8,75;IT;3;2148,025328;1252,198044;0,000248266;0,000243184;2,74596E-05;62866432;459872256;114537472;637276160;0,012155653;0,010166503;1;Lat261Lon302;IT;Lat261Lon302;Won_3
Lat261Lon303;261;303;40,5;9,375;IT;3;2180,252776;1258,13181;0,000247095;0,000242037;2,70537E-05;23251968;1068729344;61144064;1153125376;0,012338028;0,010214679;1;Lat261Lon303;IT;Lat261Lon303;Won_3
Lat261Lon312;261;312;40,5;15;IT;3;1745,34135;1233,33922;0,000252062;0,000246902;3,37951E-05;73200640;82673664;11195392;167069696;0,009876868;0,01001339;1;Lat261Lon312;IT;Lat261Lon312;Won_3
Lat261Lon313;261;313;40,5;15,625;IT;3;1781,43238;1220,776707;0,000254656;0,000249443;3,31104E-05;27557888;244576256;37892096;310026240;0,010081107;0,009911395;1;Lat261Lon313;IT;Lat261Lon313;Won_3
Lat261Lon314;261;314;40,5;16,25;IT;3;2355,40338;1221,163383;0,000254575;0,000249364;2,5042E-05;13778944;405617664;124010496;543407104;0,013329203;0,009914535;1;Lat261Lon314;IT;Lat261Lon314;Won_3
Lat261Lon315;261;315;40,5;16,875;IT;3;2153,139288;1233,139515;0,000252103;0,000246942;2,73944E-05;43920384;124010496;15501312;183432192;0,012184593;0,010011768;1;Lat261Lon315;IT;Lat261Lon315;Won_3
Lat261Lon316;261;316;40,5;17,5;IT;3;2449,75516;1229,576404;0,000252834;0,000247658;2,40775E-05;111092736;17223680;13778944;142095360;0,013863139;0,00998284;1;Lat261Lon316;IT;Lat261Lon316;Won_3
Lat262Lon275;262;275;41;-8,125;PT;3;1749,70012;1197,147927;0,000259682;0,000254366;3,37109E-05;74923008;852572160;18946048;946441216;0,021619319;0,032779471;1;Lat262Lon275;PT;Lat262Lon275;Won_3
Lat262Lon276;262;276;41;-7,5;PT;3;2555,17246;1236,958659;0,000251325;0,00024618;2,30842E-05;31863808;929217536;99897344;1060978688;0,031571746;0,033869541;1;Lat262Lon276;PT;Lat262Lon276;Won_3
Lat262Lon277;262;277;41;-6,875;ES;3;2700,89211;1254,379338;0,000247834;0,000242761;2,18387E-05;5167104;386671616;229074944;620913664;0,006190024;0,005949605;1;Lat262Lon277;ES;Lat262Lon277;Won_3
Lat262Lon278;262;278;41;-6,25;ES;3;3106,87849;1243,728825;0,000249957;0,00024484;1,8985E-05;5167104;1817098240;796595200;2618860544;0,007120481;0,005899089;1;Lat262Lon278;ES;Lat262Lon278;Won_3
Lat262Lon279;262;279;41;-5,625;ES;3;3069,71953;1269,321555;0,000244917;0,000239903;1,92148E-05;103342080;674307072;370309120;1147958272;0,007035319;0,006020477;1;Lat262Lon279;ES;Lat262Lon279;Won_3
Lat262Lon280;262;280;41;-5;ES;3;2875,60485;1276,656815;0,00024351;0,000238525;2,05119E-05;25835520;289357824;64588800;379782144;0,006590438;0,006055268;1;Lat262Lon280;ES;Lat262Lon280;Won_3
Lat262Lon281;262;281;41;-4,375;ES;3;2759,55742;1271,134071;0,000244568;0,000239561;2,13744E-05;52532224;564075520;166208512;782816256;0,006324476;0,006029074;1;Lat262Lon281;ES;Lat262Lon281;Won_3
Lat262Lon282;262;282;41;-3,75;ES;3;2614,2396;1270,03052;0,00024478;0,000239769;2,25626E-05;41336832;392699904;410784768;844821504;0,00599143;0,00602384;1;Lat262Lon282;ES;Lat262Lon282;Won_3
Lat262Lon283;262;283;41;-3,125;ES;3;2899,31019;1264,289488;0,000245892;0,000240858;2,03441E-05;9473024;386671616;302275584;698420224;0,006644767;0,005996609;1;Lat262Lon283;ES;Lat262Lon283;Won_3
Lat262Lon284;262;284;41;-2,5;ES;3;3218,44682;1264,735286;0,000245805;0,000240773;1,83269E-05;2583552;781093888;496041984;1279719424;0,007376179;0,005998724;1;Lat262Lon284;ES;Lat262Lon284;Won_3
Lat262Lon285;262;285;41;-1,875;ES;3;3224,53856;1262,601578;0,00024622;0,00024118;1,82922E-05;5167104;514988032;292802560;812957696;0,00739014;0,005988604;1;Lat262Lon285;ES;Lat262Lon285;Won_3
Lat262Lon286;262;286;41;-1,25;ES;3;3320,76035;1255,266788;0,000247659;0,000242589;1,77622E-05;13778944;437481472;83534848;534795264;0,007610665;0,005953814;1;Lat262Lon286;ES;Lat262Lon286;Won_3
Lat262Lon287;262;287;41;-0,625;ES;2;2934,20029;1250,34321;0,000248634;0,000243545;2,01022E-05;25835520;495180800;32724992;553741312;0,00672473;0,005930461;1;Lat262Lon287;ES;Lat262Lon287;Won_2
Lat262Lon288;262;288;41;0;ES;3;2800,633976;1242,466786;0,00025021;0,000245088;2,10609E-05;12917760;943857664;12056576;968832000;0,006418617;0,005893103;1;Lat262Lon288;ES;Lat262Lon288;Won_3
Lat262Lon289;262;289;41;0,625;ES;3;2964,10456;1252,698701;0,000248167;0,000243087;1,98994E-05;28419072;387532800;4305920;420257792;0,006793266;0,005941634;1;Lat262Lon289;ES;Lat262Lon289;Won_3
Lat262Lon303;262;303;41;9,375;IT;3;2425,62456;1242,391224;0,000250226;0,000245103;2,4317E-05;29280256;477957120;31002624;538240000;0,013726584;0,010086882;1;Lat262Lon303;IT;Lat262Lon303;Won_3
Lat262Lon311;262;311;41;14,375;IT;3;1541,20634;1221,574135;0,00025449;0,00024928;3,82713E-05;528766976;92146688;23251968;644165632;0,00872167;0,00991787;1;Lat262Lon311;IT;Lat262Lon311;Won_3
Lat262Lon312;262;312;41;15;IT;3;2271,92589;1197,513051;0,000259603;0,000254289;2,59621E-05;123149312;272134144;2583552;397867008;0,012856805;0,00972252;1;Lat262Lon312;IT;Lat262Lon312;Won_3
Lat262Lon313;262;313;41;15,625;IT;3;2209,646944;1185,596146;0,000262213;0,000256845;2,66939E-05;27557888;336722944;30141440;394422272;0,012504369;0,009625767;1;Lat262Lon313;IT;Lat262Lon313;Won_3
Lat262Lon314;262;314;41;16,25;IT;3;2202,66704;1199,845787;0,000259098;0,000253795;2,67784E-05;62866432;54254592;7750656;124871680;0,01246487;0,009741459;1;Lat262Lon314;IT;Lat262Lon314;Won_3
Lat262Lon315;262;315;41;16,875;IT;3;2376,306528;1213,584808;0,000256165;0,000250921;2,48217E-05;148984832;18946048;4305920;172236800;0,013447494;0,009853005;1;Lat262Lon315;IT;Lat262Lon315;Won_3
Lat263Lon274;263;274;41,5;-8,75;PT;3;2590,92398;1197,590113;0,000259586;0,000254273;2,27656E-05;253188096;620052480;9473024;882713600;0,032013493;0,032791579;1;Lat263Lon274;PT;Lat263Lon274;Won_3
Lat263Lon275;263;275;41,5;-8,125;PT;3;1739,02338;1188,22294;0,000261633;0,000256277;3,39179E-05;220463104;719949824;96452608;1036865536;0,021487397;0,032535093;1;Lat263Lon275;PT;Lat263Lon275;Won_3
Lat263Lon276;263;276;41,5;-7,5;PT;3;2328,3847;1215,074753;0,000255851;0,000250614;2,53326E-05;31863808;774204416;115398656;921466880;0,028769554;0,033270331;1;Lat263Lon276;PT;Lat263Lon276;Won_3
Lat263Lon277;263;277;41,5;-6,875;PT;3;2558,46805;1219,898919;0,000254839;0,000249623;2,30544E-05;16362496;464178176;68894720;549435392;0,031612467;0,033402423;1;Lat263Lon277;PT;Lat263Lon277;Won_3
Lat263Lon278;263;278;41,5;-6,25;ES;3;3161,14066;1232,297866;0,000252275;0,000247111;1,86591E-05;5167104;487430144;322082816;814680064;0,007244842;0,005844871;1;Lat263Lon278;ES;Lat263Lon278;Won_3
Lat263Lon279;263;279;41,5;-5,625;ES;3;3149,82216;1250,640589;0,000248575;0,000243487;1,87261E-05;45642752;272995328;124010496;442648576;0,007218902;0,005931872;1;Lat263Lon279;ES;Lat263Lon279;Won_3
Lat263Lon280;263;280;41,5;-5;ES;3;3001,49834;1255,352142;0,000247642;0,000242573;1,96515E-05;133483520;422841344;41336832;597661696;0,006878966;0,005954219;1;Lat263Lon280;ES;Lat263Lon280;Won_3
Lat263Lon281;263;281;41,5;-4,375;ES;3;3010,85308;1256,030093;0,000247509;0,000242442;1,95905E-05;77506560;1091120128;89563136;1258189824;0,006900406;0,005957435;1;Lat263Lon281;ES;Lat263Lon281;Won_3
Lat263Lon282;263;282;41,5;-3,75;ES;3;2951,50448;1251,30134;0,000248444;0,000243358;1,99844E-05;28419072;878407680;312609792;1219436544;0,006764388;0,005935006;1;Lat263Lon282;ES;Lat263Lon282;Won_3
Lat263Lon283;263;283;41,5;-3,125;ES;3;2896,25261;1258,409074;0,000247041;0,000241984;2,03656E-05;6028288;988639232;297969664;1292637184;0,00663776;0,005968718;1;Lat263Lon283;ES;Lat263Lon283;Won_3
Lat263Lon284;263;284;41,5;-2,5;ES;3;3130,73899;1254,020646;0,000247905;0,00024283;1,88403E-05;7750656;862045184;146401280;1016197120;0,007175166;0,005947904;1;Lat263Lon284;ES;Lat263Lon284;Won_3
Lat263Lon285;263;285;41,5;-1,875;ES;3;3266,32986;1234,33488;0,000251859;0,000246703;1,80582E-05;18946048;503792640;159319040;682057728;0,007485919;0,005854533;1;Lat263Lon285;ES;Lat263Lon285;Won_3
Lat263Lon286;263;286;41,5;-1,25;ES;3;3310,00492;1224,493945;0,000253883;0,000248686;1,78199E-05;85257216;150707200;25835520;261799936;0,007586015;0,005807856;1;Lat263Lon286;ES;Lat263Lon286;Won_3
